,Code,Description
2,1185,Gaz à effet de serre fluorés
5,1312,Mise en œuvre de produits explosifs à des fins industrielles
8,1413,"Installations de remplissage de réservoirs de gaz naturel ou biogaz, sous pression"
9,1414,Installations de remplissage ou de distribution de gaz inflammables liquéfiés
10,1416,Station services (hydrogène)
12,1421,Installation de remplissage d'aérosols inflammables
14,1434,Installations de remplissage ou de distribution de liquides inflammables
15,1435,Stations-service
16,1436,Liquides de point éclair compris entre 60°C et 93°C
18,1450,Solides inflammables
19,1455,Stockage de carbure de calcium
21,1510,"Stockage de matières, produits ou substances combustibles dans des entrepôts couverts"
22,1511,Entrepôts frigorifiques
23,1530,"Dépôts de papiers, cartons ou matériaux combustibles analogues"
24,1531,"Stockages, par voie humide (immersion ou aspersion), de bois non traité chimiquement"
25,1532,Stockage de bois ou de matériaux combustibles analogues
27,1630,Emploi ou stockage de lessives de soude ou de potasse caustique
30,1716,Substances radioactives
31,1735,"Dépôt, entreposage ou stockage de substances radioactives"
33,1978,Solvants organiques
36,2101,Élevage de bovins
37,2102,Élevage de porcs
38,2110,Élevage de lapins
39,2111,Élevage de volailles
40,2112,Couvoirs
41,2113,Élevage d'animaux carnassiers à fourrure
42,2120,Élevage de chiens
43,2130,Piscicultures
44,2140,Présentation au public d'animaux d'espèces non domestiques
45,2150,"Élevage de coléoptères, diptères, orthoptères"
46,2160,"Silos et installations de stockage de céréales, grains, produits alimentaires ..."
47,2170,"Fabrication des engrais, amendement et support de culture"
48,2171,"Dépôts de fumiers, engrais et supports de culture"
49,2175,Dépôts d'engrais liquides
51,2210,Abattage d'animaux
52,2220,Préparation de produits alimentaires d'origine végétale
53,2221,Préparation de produits alimentaires d'origine animale
54,2230,Transformation etc. du lait
55,2240,"Extraction et traitement des huiles végétales, huiles animales et corps gras"
56,2250,Production par distillation d'alcools de bouche d'origine agricole
57,2251,"Préparation, conditionnement de vins"
58,2260,"Broyage, concassage de substances végétales"
59,2265,Fermentation acétique en milieu liquide
60,2275,Fabrication de levure et [...]
62,2311,"Traitement par battage, cardage, lavage etc. de fibres d'origine végétale"
63,2315,Fabrication de fibres végétales artificielles
64,2321,Atelier de fabrication de tissus
65,2330,"Teinture, impression, apprêt, enduction, blanchiment et délavage de matières textiles"
66,2340,"Blanchisserie, laverie de linge"
67,2345,Utilisation de solvants pour le nettoyage à sec et le traitement de textiles ou vêtements
68,2350,"Tanneries, mégisseries, ..."
69,2351,Teintureries et pigmentation de peaux
70,2355,Dépôts de peaux
71,2360,"Fabrication de chaussures, maroquinerie ou travail du cuir"
73,2410,Travail du bois et matériaux combustibles analogues
74,2415,Mise en œuvre de produits de préservation de bois et matériaux dérivés
75,2420,Fabrication de charbon de bois
76,2430,Préparation de la pâte à papier
77,2440,Fabrication de papier carton
78,2445,"Transformation du papier, carton"
79,2450,Imprimeries ou ateliers de reproduction graphique sur tout support
81,2510,Exploitation de carrières
82,2515,"Broyage, concassage, criblage ... de pierres, cailloux, minerais et autres produits minéraux naturels ou artificiels ou de déchets non dangereux inertes"
83,2516,Station de transit de produits minéraux pulvérulents
84,2517,Station de transit de produits minéraux autres
85,2518,Production de béton prêt à l'emploi
86,2520,"Fabrication de ciments, chaux, plâtres"
87,2521,Station d'enrobage au bitume de matériaux routiers
88,2522,Fabrication de produits en béton par procédés mécaniques
89,2523,Fabrication de produits céramiques et réfractaires
90,2524,"Taillage, sciage et polissage de minéraux naturels ou artificiels"
91,2530,Fabrication et travail du verre
92,2531,Travail chimique du verre ou du cristal
93,2540,"Lavoirs à houille, minerais, minéraux ou résidus métallurgiques"
94,2541,"Agglomération de houille, minerai de fer, fabrication de graphite artificiel – Grillage ou frittage de minerai métallique"
95,2545,"Fabrication d'acier, fer, fonte, ferro-alliage"
96,2546,"Traitement industriel des minerais non ferreux, élaboration des métaux et alliages non ferreux"
97,2547,Fabrication de silico-alliages ou carbure de silicium
98,2550,Fonderie de produits moulés ... contenant du plomb
99,2551,Fonderie de métaux et alliages ferreux
100,2552,Fonderie de métaux et alliages non-ferreux
101,2560,Travail mécanique des métaux et alliages
102,2561,"Trempé recuit, revenu des métaux et alliages"
