Code;Description;Service
1xxx;SUBSTANCES;
11xx;Gaz à effet de serre;
1185;Gaz à effet de serre fluorés;SSEEC-BPC
13xx;Explosifs et substances explosibles;
131x;Explosifs;
1312;Mise en œuvre de produits explosifs à des fins industrielles;SRT-BRIEC
14xx;Substances inflammables;
141x;Gaz inflammables;
1413;Installations de remplissage de réservoirs de gaz naturel ou biogaz, sous pression;SRT-BRIEC
1414;Installations de remplissage ou de distribution de gaz inflammables liquéfiés;SRT-BRIEC
1416;Station services (hydrogène);SRT-BRIEC
142x;Substances inflammables;
1421;Installation de remplissage d'aérosols inflammables;SRT-BRIEC
143x;Liquides inflammables;
1434;Installations de remplissage ou de distribution de liquides inflammables;SRT-BRIEC
1435;Stations-service;SRT-BRIEC
1436;Liquides de point éclair compris entre 60°C et 93°C;SRT-BRIEC
145x;Solides inflammables;
1450;Solides inflammables;SRT-BRIEC
1455;Stockage de carbure de calcium;SRT-BRIEC
15xx;Produits combustibles;
1510;Stockage de matières, produits ou substances combustibles dans des entrepôts couverts;SRT-BRIEC
1511;Entrepôts frigorifiques;SRT-BRIEC
1530;Dépôts de papiers, cartons ou matériaux combustibles analogues;SRT-BRIEC
1531;Stockages, par voie humide (immersion ou aspersion), de bois non traité chimiquement;SRT-BRIEC
1532;Stockage de bois ou de matériaux combustibles analogues;SRT-BRIEC
16xx;Corrosifs;
1630;Emploi ou stockage de lessives de soude ou de potasse caustique;SRT-BRIEC
17xx;Substances radioactives;
1700;Définitions et règles de classement des substances radioactives;
1716;Substances radioactives;SRT-MSNR
1735;Dépôt, entreposage ou stockage de substances radioactives;SRT-MSNR
19xx;Substances diverses;
1978;Solvants organiques;DGEC-BQA
2xxx;ACTIVITES;
21xx;Activités agricoles, animaux;
2101;Élevage de bovins;SSEEC-BBA
2102;Élevage de porcs;SSEEC-BBA
2110;Élevage de lapins;SSEEC-BBA
2111;Élevage de volailles;SSEEC-BBA
2112;Couvoirs;SSEEC-BBA
2113;Élevage d'animaux carnassiers à fourrure;SSEEC-BBA
2120;Élevage de chiens;SSEEC-BBA
2130;Piscicultures;SSEEC-BBA
2140;Présentation au public d'animaux d'espèces non domestiques;SSEEC-BBA
2150;Élevage de coléoptères, diptères, orthoptères;SSEEC-BBA
2160;Silos et installations de stockage de céréales, grains, produits alimentaires ...;SRT-BRIEC
2170;Fabrication des engrais, amendement et support de culture;SSEEC-BGD
2171;Dépôts de fumiers, engrais et supports de culture;SSEEC-BGD
2175;Dépôts d'engrais liquides;SRT-BRIEC
22xx;Agroalimentaire et agroindustrie;
2210;Abattage d'animaux;SSEEC-BBA
2220;Préparation de produits alimentaires d'origine végétale;SRT-BEI
2221;Préparation de produits alimentaires d'origine animale;SRT-BEI
2230;Transformation etc. du lait;SRT-BEI
2240;Extraction et traitement des huiles végétales, huiles animales et corps gras;SRT-BEI
2250;Production par distillation d'alcools de bouche d'origine agricole;SRT-BEI
2251;Préparation, conditionnement de vins;SRT-BEI
2260;Broyage, concassage de substances végétales;SRT-BEI
2265;Fermentation acétique en milieu liquide;SRT-BEI
2275;Fabrication de levure et [...];SRT-BEI
23xx;Textiles, cuirs et peaux;
2311;Traitement par battage, cardage, lavage etc. de fibres d'origine végétale;SRT-BEI
2315;Fabrication de fibres végétales artificielles;SRT-BEI
2321;Atelier de fabrication de tissus;SRT-BEI
2330;Teinture, impression, apprêt, enduction, blanchiment et délavage de matières textiles;SRT-BEI
2340;Blanchisserie, laverie de linge;SRT-BEI
2345;Utilisation de solvants pour le nettoyage à sec et le traitement de textiles ou vêtements;DGEC-BQA
2350;Tanneries, mégisseries, ...;SRT-BEI
2351;Teintureries et pigmentation de peaux;SRT-BEI
2355;Dépôts de peaux;SSEEC-BBA
2360;Fabrication de chaussures, maroquinerie ou travail du cuir;SRT-BEI
24xx;Bois, papier, carton, imprimerie;
2410;Travail du bois et matériaux combustibles analogues;SRT-BEI
2415;Mise en œuvre de produits de préservation de bois et matériaux dérivés;SRT-BEI
2420;Fabrication de charbon de bois;DGEC-BQA
2430;Préparation de la pâte à papier;SRT-BEI
2440;Fabrication de papier carton;SRT-BEI
2445;Transformation du papier, carton;SRT-BEI
2450;Imprimeries ou ateliers de reproduction graphique sur tout support;DGEC-BQA
25xx;Matériaux, minerais et métaux;
2510;Exploitation de carrières;SRT-BSSS
2515;Broyage, concassage, criblage ... de pierres, cailloux, minerais et autres produits minéraux naturels ou artificiels ou de déchets non dangereux inertes;SRT-BSSS
2516;Station de transit de produits minéraux pulvérulents;SRT-BSSS
2517;Station de transit de produits minéraux autres;SRT-BSSS
2518;Production de béton prêt à l'emploi;SRT-BSSS
2520;Fabrication de ciments, chaux, plâtres;SRT-BSSS
2521;Station d'enrobage au bitume de matériaux routiers;SRT-BSSS
2522;Fabrication de produits en béton par procédés mécaniques;SRT-BSSS
