Code_ICPE,Libelle_ICPE,Composant
1530,"Dépôts de papiers, cartons ou matériaux combustibles analogues",Papier
1530,"Dépôts de papiers, cartons ou matériaux combustibles analogues",Carton
1531,"Stockages, par voie humide (immersion ou aspersion), de bois non traité chimiquement",Bois en fin de vie propre (palette)
1531,"Stockages, par voie humide (immersion ou aspersion), de bois non traité chimiquement",Bois et sous-produits du bois
1532,Stockage de bois ou de matériaux combustibles analogues,Bois en fin de vie propre (palette)
1532,Stockage de bois ou de matériaux combustibles analogues,Bois et sous-produits du bois
1532,Stockage de bois ou de matériaux combustibles analogues,Bois traité et/ou dangereux
1630,Emploi ou stockage de lessives de soude ou de potasse caustique,Soude
1630,Emploi ou stockage de lessives de soude ou de potasse caustique,Potasse
1630,Emploi ou stockage de lessives de soude ou de potasse caustique,Hydroxyde de sodium
1630,Emploi ou stockage de lessives de soude ou de potasse caustique,Hydroxyde de potassium
1978,Solvants organiques,Solvant
2171,"Dépôts de fumiers, engrais et supports de culture",Fumier et lisier
2240,"Extraction et traitement des huiles végétales, huiles animales et corps gras",Huile alimentaire
2240,"Extraction et traitement des huiles végétales, huiles animales et corps gras",Huile non alimentaire
2240,"Extraction et traitement des huiles végétales, huiles animales et corps gras",Graisse alimentaire
2240,"Extraction et traitement des huiles végétales, huiles animales et corps gras",Graisse non alimentaire
2240,"Extraction et traitement des huiles végétales, huiles animales et corps gras",Acide gras
2410,Travail du bois et matériaux combustibles analogues,Bois et sous-produits du bois
2410,Travail du bois et matériaux combustibles analogues,Bois en fin de vie propre (palette)
2410,Travail du bois et matériaux combustibles analogues,Bois traité et/ou dangereux
2440,Fabrication de papier carton,Papier
2440,Fabrication de papier carton,Carton
2445,"Transformation du papier, carton",Papier
2445,"Transformation du papier, carton",Carton
2518,Production de béton prêt à l'emploi,Béton
2520,"Fabrication de ciments, chaux, plâtres",Ciment
2520,"Fabrication de ciments, chaux, plâtres",Chaux
2520,"Fabrication de ciments, chaux, plâtres",Plâtre
2521,Station d'enrobage au bitume de matériaux routiers,Bitume
2522,Fabrication de produits en béton par procédés mécaniques,Béton
2523,Fabrication de produits céramiques et réfractaires,Céramique
2530,Fabrication et travail du verre,Verre
2530,Fabrication et travail du verre,Fibre de verre
2530,Fabrication et travail du verre,Laine de verre
2545,"Fabrication d'acier, fer, fonte, ferro-alliage",Acier
2545,"Fabrication d'acier, fer, fonte, ferro-alliage",Acier inoxydable
2545,"Fabrication d'acier, fer, fonte, ferro-alliage",Fonte
2545,"Fabrication d'acier, fer, fonte, ferro-alliage",Ferronickel
2545,"Fabrication d'acier, fer, fonte, ferro-alliage",Ferrosilicium
2550,Fonderie de produits moulés ... contenant du plomb,Plomb
2551,Fonderie de métaux et alliages ferreux,Fonte
2551,Fonderie de métaux et alliages ferreux,Acier
2551,Fonderie de métaux et alliages ferreux,Acier inoxydable
2551,Fonderie de métaux et alliages ferreux,Ferronickel
2551,Fonderie de métaux et alliages ferreux,Ferrosilicium
2552,Fonderie de métaux et alliages non-ferreux,Aluminium
2552,Fonderie de métaux et alliages non-ferreux,Cuivre
2552,Fonderie de métaux et alliages non-ferreux,Bronze
2552,Fonderie de métaux et alliages non-ferreux,Laiton
2552,Fonderie de métaux et alliages non-ferreux,Zinc
2552,Fonderie de métaux et alliages non-ferreux,Etain
2552,Fonderie de métaux et alliages non-ferreux,Argent
2552,Fonderie de métaux et alliages non-ferreux,Nickel
2552,Fonderie de métaux et alliages non-ferreux,Titane
2552,Fonderie de métaux et alliages non-ferreux,Manganèse
2552,Fonderie de métaux et alliages non-ferreux,Chrome
2662,Stockage de polymères,Polyéthylène
2662,Stockage de polymères,Polypropylène
2662,Stockage de polymères,Polystyrène
2662,Stockage de polymères,Polychlorure de vinyle
2662,Stockage de polymères,Polyester
2662,Stockage de polymères,Polyamide
2662,Stockage de polymères,Polyuréthane
2662,Stockage de polymères,Polycarbonate
2662,Stockage de polymères,Polyacrylate
2662,Stockage de polymères,Polyacrylamide
2662,Stockage de polymères,Polyacétal
2662,Stockage de polymères,Polyisobutylène
2662,Stockage de polymères,Polybutyral de vinyle
2662,Stockage de polymères,Polyéther aromatique
2662,Stockage de polymères,Polyéthylène téréphtalate
2662,Stockage de polymères,Polyéthylèneglycol
2662,Stockage de polymères,Nylon
2662,Stockage de polymères,Acrylique
2662,Stockage de polymères,Aminoplaste
2662,Stockage de polymères,Phénoplaste
2662,Stockage de polymères,Epoxyde
2662,Stockage de polymères,Silicone
2662,Stockage de polymères,Résine phénolique
2662,Stockage de polymères,Résine échangeuse d'ions
2662,Stockage de polymères,Résine époxy
2662,Stockage de polymères,Plexiglas
2662,Stockage de polymères,Latex
2662,Stockage de polymères,Caoutchouc
2713,"Transit, regroupement, tri ou préparation de métaux ou de déchets de métaux non dangereux",Métaux en mélange
2714,"Transit, regroupement, tri ou préparation de déchets non dangereux de papiers/cartons, plastiques, caoutchouc, textiles, bois",Papier
2714,"Transit, regroupement, tri ou préparation de déchets non dangereux de papiers/cartons, plastiques, caoutchouc, textiles, bois",Carton
2714,"Transit, regroupement, tri ou préparation de déchets non dangereux de papiers/cartons, plastiques, caoutchouc, textiles, bois",Plastiques en mélange
2714,"Transit, regroupement, tri ou préparation de déchets non dangereux de papiers/cartons, plastiques, caoutchouc, textiles, bois",Caoutchouc
2714,"Transit, regroupement, tri ou préparation de déchets non dangereux de papiers/cartons, plastiques, caoutchouc, textiles, bois",Textile
2714,"Transit, regroupement, tri ou préparation de déchets non dangereux de papiers/cartons, plastiques, caoutchouc, textiles, bois",Bois et sous-produits du bois
2714,"Transit, regroupement, tri ou préparation de déchets non dangereux de papiers/cartons, plastiques, caoutchouc, textiles, bois",Bois en fin de vie propre (palette)
2715,"Transit, regroupement ou tri de déchets non dangereux de verre",Verre
