Code_ICPE,Libelle_ICPE,Composant_suggere
1185,Gaz à effet de serre fluorés,"Gaz à effet de serre fluorés (ex : HFC, PFC, SF6)"
1455,Stockage de carbure de calcium,Carbure de calcium
2792,Traitement de déchets contenant des PCB,Déchet contenant des PCB (polychlorobiphényles)
4707,Pentoxyde d'arsenic,Pentoxyde d'arsenic
4708,Trioxyde d'arsenic,Trioxyde d'arsenic
4709,Brome,Brome
4712,Ethylèneimine,Ethylèneimine
4713,Fluor,Fluor
4717,Plombs alkyls,Plombs alkyls
4720,Oxyde d'éthylène,Oxyde d'éthylène
4721,Oxyde de propylène,Oxyde de propylène
4723,"4,4-méthylène-bis","4,4-méthylène-bis (2-chloroaniline)"
4724,Isocyanate de méthyle,Isocyanate de méthyle
4726,"2,4-diisocyanate de toluène","2,4-diisocyanate de toluène"
4727,Dichlorure de carbonyle (phosgène),Dichlorure de carbonyle (phosgène)
4728,Arsine,Arsine
4729,Phosphine,Phosphine
4730,Dichlorure de soufre,Dichlorure de soufre
4731,Trioxyde de soufre,Trioxyde de soufre
4732,Polychlorodibenzofuranes et polychlorodibenzodioxines,Polychlorodibenzofuranes et polychlorodibenzodioxines
4736,Trifluorure de bore,Trifluorure de bore
4738,Pipéridine,Pipéridine
4739,Bis(2-dimethylaminoéthyl)(méthyl)amine,Bis(2-diméthylaminoéthyl)(méthyl)amine
4740,3-(2-Ethylhexyloxy)propylamine,3-(2-Ethylhexyloxy)propylamine
4742,Propylamine,Propylamine
4743,Acrylate de tert-butyl,Acrylate de tert-butyl
4744,2-méthyl-3-butènenitrile,2-méthyl-3-butènenitrile
4745,"Tétrahydro-3,5-diméthyl-1,3,5, thiadiazine-2-thione (dazomet)",Dazomet (thiadiazine-thione)
4746,Acrylate de méthyle,Acrylate de méthyle
4747,3-Méthylpyridine,3-Méthylpyridine
4748,1-bromo-3-chloropropane,1-bromo-3-chloropropane
4749,Perchlorate d'ammonium,Perchlorate d'ammonium
4701,Nitrate d'ammonium.,Nitrate d'ammonium
4702,Engrais solides simples et composés à base de nitrate d'ammonium,Engrais à base de nitrate d'ammonium
4703,Nitrate d'ammonium ou d'engrais hors spécification,Nitrate d'ammonium hors spécification
